1370194318783,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,300.0
1370194318783,c751eaed302855746c4c3dcd1c885b8f,25,12,true,250,false,300.0
1370194318783,3b14c8103f1ea8f681b836b29ec6f1b4,29,0,true,500,false,300.0
1370194318783,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,300.0
1370194318783,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,300.0
1370194918734,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,375.0
1370194918734,c751eaed302855746c4c3dcd1c885b8f,25,15,true,250,false,375.0
1370194918734,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,375.0
1370194918734,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,375.0
1370194918734,3b14c8103f1ea8f681b836b29ec6f1b4,29,0,true,500,false,375.0
1370195518639,c751eaed302855746c4c3dcd1c885b8f,25,18,true,250,false,450.0
1370195518639,3b14c8103f1ea8f681b836b29ec6f1b4,29,0,true,500,false,450.0
1370195518639,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,450.0
1370195518639,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,450.0
1370195518639,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,450.0
1370196118927,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,475.0
1370196118927,c751eaed302855746c4c3dcd1c885b8f,25,19,true,250,false,475.0
1370196118927,3b14c8103f1ea8f681b836b29ec6f1b4,29,0,true,500,false,475.0
1370196118927,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,475.0
1370196118927,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,475.0
1370196719218,c751eaed302855746c4c3dcd1c885b8f,25,22,true,250,false,550.0
1370196719218,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,550.0
1370196719218,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,550.0
1370196719218,3b14c8103f1ea8f681b836b29ec6f1b4,29,0,true,500,false,550.0
1370196719218,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,550.0
1370199720076,3b14c8103f1ea8f681b836b29ec6f1b4,29,0,true,500,false,800.0,0.0.3
1370199720076,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,800.0,0.0.3
1370199720076,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,800.0,0.0.3
1370200920026,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,875.0,0.0.3
1370200920026,c751eaed302855746c4c3dcd1c885b8f,25,35,true,250,false,875.0,0.0.3
1370200920026,3b14c8103f1ea8f681b836b29ec6f1b4,29,0,true,500,false,875.0,0.0.3
1370200920026,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,875.0,0.0.3
1370200920026,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,875.0,0.0.3
1370201520444,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,929.0,0.0.3
1370201520444,c751eaed302855746c4c3dcd1c885b8f,25,36,true,250,false,929.0,0.0.3
1370201520444,3b14c8103f1ea8f681b836b29ec6f1b4,29,1,true,500,false,929.0,0.0.3
1370201520444,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,929.0,0.0.3
1370201520444,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,929.0,0.0.3
1370202120501,c751eaed302855746c4c3dcd1c885b8f,25,40,true,250,false,1029.0,0.0.3
1370202120501,3b14c8103f1ea8f681b836b29ec6f1b4,29,1,true,500,false,1029.0,0.0.3
1370202120501,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,1029.0,0.0.3
1370202120501,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,1029.0,0.0.3
1370202120501,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,1029.0,0.0.3
1370202720682,c751eaed302855746c4c3dcd1c885b8f,25,43,true,250,false,1104.0,0.0.3
1370202720682,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,1104.0,0.0.3
1370202720682,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,1104.0,0.0.3
1370202720682,3b14c8103f1ea8f681b836b29ec6f1b4,29,1,true,500,false,1104.0,0.0.3
1370202720682,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,1104.0,0.0.3
1370203921204,c751eaed302855746c4c3dcd1c885b8f,25,45,true,250,false,1154.0,0.0.3
1370203921204,3b14c8103f1ea8f681b836b29ec6f1b4,29,1,true,500,false,1154.0,0.0.3
1370203921204,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,1154.0,0.0.3
1370203921204,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,1154.0,0.0.3
1370203921204,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,1154.0,0.0.3
1370204521077,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,1204.11,0.0.3
1370204521077,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,1204.11,0.0.3
1370204521077,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,1204.11,0.0.3
1370204521077,c751eaed302855746c4c3dcd1c885b8f,25,47,true,250,false,1204.11,0.0.3
1370204521077,3b14c8103f1ea8f681b836b29ec6f1b4,29,1,true,500,false,1204.11,0.0.3
1370205121389,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,1254.11,0.0.3
1370205121389,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,1254.11,0.0.3
1370205121389,3b14c8103f1ea8f681b836b29ec6f1b4,29,1,true,500,false,1254.11,0.0.3
1370205121389,c751eaed302855746c4c3dcd1c885b8f,25,49,true,250,false,1254.11,0.0.3
1370205121389,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,1254.11,0.0.3
1370205721883,3b14c8103f1ea8f681b836b29ec6f1b4,29,1,true,500,false,1379.11,0.0.3
1370205721883,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,1379.11,0.0.3
1370205721883,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,1379.11,0.0.3
1370205721883,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,1379.11,0.0.3
1370205721883,c751eaed302855746c4c3dcd1c885b8f,25,54,true,250,false,1379.11,0.0.3
1370206321487,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,1404.11,0.0.3
1370206321487,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,1404.11,0.0.3
1370206321487,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,1404.11,0.0.3
1370206321487,3b14c8103f1ea8f681b836b29ec6f1b4,29,1,true,500,false,1404.11,0.0.3
1370206321487,c751eaed302855746c4c3dcd1c885b8f,25,55,true,250,false,1404.11,0.0.3
1370206921836,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,1429.11,0.0.3
1370206921836,3b14c8103f1ea8f681b836b29ec6f1b4,29,1,true,500,false,1429.11,0.0.3
1370206921836,c751eaed302855746c4c3dcd1c885b8f,25,56,true,250,false,1429.11,0.0.3
1370206921836,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,1429.11,0.0.3
1370206921836,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,1429.11,0.0.3
1370207521736,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,1479.11,0.0.3
1370207521736,c751eaed302855746c4c3dcd1c885b8f,25,58,true,250,false,1479.11,0.0.3
1370207521736,3b14c8103f1ea8f681b836b29ec6f1b4,29,1,true,500,false,1479.11,0.0.3
1370207521736,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,1479.11,0.0.3
1370207521736,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,1479.11,0.0.3
1370208721775,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,1508.11,0.0.3
1370208721775,c751eaed302855746c4c3dcd1c885b8f,25,58,true,250,false,1508.11,0.0.3
1370208721775,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,1508.11,0.0.3
1370208721775,3b14c8103f1ea8f681b836b29ec6f1b4,29,2,true,500,false,1508.11,0.0.3
1370208721775,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,1508.11,0.0.3
1370209321970,3b14c8103f1ea8f681b836b29ec6f1b4,29,2,true,500,false,1583.11,0.0.3
1370209321970,c751eaed302855746c4c3dcd1c885b8f,25,61,true,250,false,1583.11,0.0.3
1370209321970,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,1583.11,0.0.3
1370209321970,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,1583.11,0.0.3
1370209321970,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,1583.11,0.0.3
1370209921966,c751eaed302855746c4c3dcd1c885b8f,25,63,true,250,false,1633.11,0.0.3
1370209921966,3b14c8103f1ea8f681b836b29ec6f1b4,29,2,true,500,false,1633.11,0.0.3
1370209921966,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,1633.11,0.0.3
1370209921966,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,1633.11,0.0.3
1370209921966,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,1633.11,0.0.3
1370210522193,8d45ca96df3c1cc5215c1c2d71e7f886,39,0,true,1000,false,1658.11,0.0.3
1370210522193,c751eaed302855746c4c3dcd1c885b8f,25,64,true,250,false,1658.11,0.0.3
1370210522193,3b14c8103f1ea8f681b836b29ec6f1b4,29,2,true,500,false,1658.11,0.0.3
1370210522193,29066e8f15a4de60ac3421d49539bf2c,49,0,false,0,false,1658.11,0.0.3
1370210522193,2b989eb0f72ae2e0f042893f66231eea,9,0,false,0,false,1658.11,0.0.3
